Nume,Functie,Dieta,Personaj
William Houston,actor/actress: Joseph Crackstone (8 episodes 2022),Vegetarian,Clarvazator
Karina Varadi,actor/actress: Wednesday (6yo)  (8 episodes 2022),Flexitarian,Vampir
Rina Mahoney,actor/actress: Janet Ottinger (8 episodes 2022),Flexitarian,Om
Georgia Goodman,actor/actress: Sue Ottinger (8 episodes 2022),Vegetarian,Vampir
Murray McArthur,actor/actress: Fabian (8 episodes 2022),Apt,Varcolac
Fred Armisen,actor/actress: Uncle Fester (8 episodes 2022),Apt,Clarvazator
Luis Guzm�n,actor/actress: Gomez Addams (8 episodes 2022),Apt,Clarvazator
Olimpia Malai,actor/actress: The Minister (8 episodes 2022),Apt,Om
Isaac Ordonez,actor/actress: Pugsley Addams (8 episodes 2022),Apt,Vampir
Nitin Ganatra,actor/actress: Dr. Anwar (8 episodes 2022),Vegetarian,Varcolac
Lucius Hoyos,actor/actress: Young Gomez (8 episodes 2022),Flexitarian,Clarvazator
Cheherezade Valentine Okotaka Ebale,actor/actress: Lou-Anne Walker (8 episodes 2022),Apt,Om
Oliver Wickham,actor/actress: Young Larissa Weems (8 episodes 2022),Flexitarian,Clarvazator
Edward Kennedy,actor/actress: MC Blood Suckaz (8 episodes 2022),Flexitarian,Clarvazator
Ismail Kesu,actor/actress: Young Sheriff Walker (8 episodes 2022),Flexitarian,Sirena
Caroline Lawrie,actor/actress: Martha (8 episodes 2022),Apt,Varcolac
Lachele Carl,actor/actress: Agnes (8 episodes 2022),Apt,Vampir
Gwen Jones,actor/actress: Young Morticia Addams (8 episodes 2022),Vegetarian,Clarvazator
Lisa O'Hare,actor/actress: Arlene (8 episodes 2022),Apt,Vampir
Sophia Nomvete,actor/actress: Connie Jorgensen (8 episodes 2022),Apt,Varcolac
Ichir� Y�ki,actor/actress: Kenichi Tanaka (8 episodes 2022),Flexitarian,Varcolac
Amanda Drew,actor/actress: Esther Sinclair (8 episodes 2022),Flexitarian,Vampir
Ryan Ellsworth,actor/actress: Murray Sinclair (8 episodes 2022),Flexitarian,Sirena
Gloria Garcia,actor/actress: Goody's Mom (8 episodes 2022),Apt,Om
Gracy Goldman,actor/actress: Gabrielle (8 episodes 2022),Flexitarian,Clarvazator
Lewis Hayes,actor/actress: Garett Gates (8 episodes 2022),Apt,Sirena
Philip Rosch,actor/actress: Ansel Gates (8 episodes 2022),Vegetarian,Vampir
Michael Okele,actor/actress: Morga(uncredited) (8 episodes 2022),Flexitarian,Varcolac
Chloe Cate,actor/actress: Studen(uncredited) (8 episodes 2022),Flexitarian,Sirena
Kayla Alpert,executive producer (8 episodes 2022),Apt,Om
Gail Berman,executive producer (8 episodes 2022),Flexitarian,Sirena
Tim Burton,executive producer (8 episodes 2022),Flexitarian,Vampir
Jonathan Glickman,executive producer (8 episodes 2022),Apt,Om
Carla Gonz�lez Vargas,co-executive producer (8 episodes 2022),Vegetarian,Vampir
Alfred Gough,executive producer (8 episodes 2022),Apt,Varcolac
Tommy Harper,executive producer (8 episodes 2022),Vegetarian,Sirena
Nick Iannelli,co-producer (8 episodes 2022),Vegetarian,Sirena
Kevin Lafferty,executive producer (8 episodes 2022),Apt,Clarvazator
Miles Millar,executive producer (8 episodes 2022),Flexitarian,Om
David Minkowski,co-executive producer (8 episodes 2022),Vegetarian,Clarvazator
Kevin Miserocchi,executive producer (8 episodes 2022),Flexitarian,Clarvazator
Andrew Mittman,executive producer (8 episodes 2022),Flexitarian,Varcolac
Carmen Pepelea,producer (8 episodes 2022),Flexitarian,Vampir
Steve Stark,executive producer (8 episodes 2022),Apt,Clarvazator
Natalie Testa,associate producer (8 episodes 2022),Apt,Varcolac
Todd Williams,co-executive producer (8 episodes 2022),Apt,Vampir
Chris Bacon,music (7 episodes 2022),Vegetarian,Om
Danny Elfman,music (4 episodes 2022),Apt,Sirena
Stephan Pehrsson,cinematography (4 episodes 2022),Flexitarian,Clarvazator
David Lanzenberg,cinematography (4 episodes 2022),Vegetarian,Varcolac
Ana Yavari,film editing (4 episodes 2022),Flexitarian,Vampir
Jay Prychidny,film editing (4 episodes 2022),Vegetarian,Varcolac
Paul G. Day,film editing (1 episode 2022),Flexitarian,Vampir
Florina Fernandes,casting (8 episodes 2022),Apt,Varcolac
Sophie Holland,casting (8 episodes 2022),Apt,Om
John Papsidera,casting (8 episodes 2022),Apt,Om
Mark Scruton,production design (8 episodes 2022),Vegetarian,Om
Adrian Curelea,supervising art director (8 episodes 2022),Flexitarian,Om
Ghinea Diana,art direction (8 episodes 2022),Apt,Clarvazator
Silvia Nancu,art direction (8 episodes 2022),Apt,Clarvazator
Andrei-Florian Popa,assistant art director / additional standby art director (8 episodes 2022),Vegetarian,Sirena
Serban Porupca,senior art director (8 episodes 2022),Flexitarian,Clarvazator
Vlad Roseanu,on-set art director / art director (8 episodes 2022),Apt,Clarvazator
Roxana Alexandru,art direction (3 episodes 2022),Flexitarian,Varcolac
Carmen Ratoi,art direction (3 episodes 2022),Apt,Sirena
Laurentiu Zarnoianu,set direction (8 episodes 2022),Vegetarian,Om
David Morison,set direction (4 episodes 2022),Flexitarian,Varcolac
Rob Hepburn,set direction (4 episodes 2022),Flexitarian,Varcolac
Colleen Atwood,costume design (8 episodes 2022),Flexitarian,Om
Bianca Boeroiu,makeup artist (8 episodes 2022),Vegetarian,Varcolac
Catalin Ciutu,hair stylist supervisor: crowd (8 episodes 2022),Vegetarian,Clarvazator
Natalie L Costello,special makeup effects artist (8 episodes 2022),Flexitarian,Clarvazator
Julian Hutcheson,special makeup effects artist (8 episodes 2022),Apt,Om
Nirvana Jalalvand,hair & makeup artist: main team (8 episodes 2022),Vegetarian,Sirena
Grace McComisky,prosthetic artist / prosthetic makeup artist (8 episodes 2022),Apt,Vampir
Tara McDonald,hair & makeup designer (8 episodes 2022),Apt,Clarvazator
Dominic Mombrun,dental effects designer & fabricator (8 episodes 2022),Vegetarian,Sirena
Angela Ruiz Morales,prosthetics artist (8 episodes 2022),Vegetarian,Clarvazator
Paraschiv Oana,makeup artist (8 episodes 2022),Flexitarian,Vampir
Alexandru Sassu,assistant makeup artist (8 episodes 2022),Apt,Clarvazator
Bas Schwarz,special effects makeup artist: mouldmaker & props (8 episodes 2022),Apt,Varcolac
Rub�n Serra,special makeup effects artist (8 episodes 2022),Flexitarian,Varcolac
Margo Stefan,hair stylist (8 episodes 2022),Flexitarian,Clarvazator
Viktoria Stieber,prosthetic makeup artist (8 episodes 2022),Vegetarian,Sirena
Sinead Sweeney,SFX contact lens coordinator (8 episodes 2022),Apt,Sirena
Iuliana Temelie,hair stylist (8 episodes 2022),Vegetarian,Sirena
Clara Tudose,hair & makeup artist (8 episodes 2022),Flexitarian,Om
Raquel �lvarez,prosthetic makeup sculptor (8 episodes 2022),Vegetarian,Sirena
Freda Ellis,makeup supervisor (6 episodes 2022),Flexitarian,Varcolac
Ripley Dale-Gulston,junior hair & makeup artist (6 episodes 2022),Apt,Clarvazator
Olimpia Stoicea,hair & makeup artist: main team (6 episodes 2022),Vegetarian,Varcolac
Tia Costell,junior hair & makeup artist (4 episodes 2022),Flexitarian,Om
Susan Cole,personal hair stylist: Luis Guzman (4 episodes 2022),Flexitarian,Vampir
Jean Carlos de Blas,key hair & makeup artist (4 episodes 2022),Apt,Varcolac
Gabriella Havens,makeup artist (3 episodes 2022),Vegetarian,Varcolac
Sheherezada Kouchaki,makeup artist (4 episodes 2022),Flexitarian,Clarvazator
Raluca Moldoveanu,makeup artist (4 episodes 2022),Vegetarian,Sirena
Andrea Dardea Tesdall,special makeup effects artist (3 episodes 2022),Apt,Varcolac
Nicoleta Toader,hair stylist: cast (4 episodes 2022),Flexitarian,Clarvazator
Natalie Fox,additional hair & makeup artist (2 episodes 2022),Flexitarian,Varcolac
Niki De Jong,prosthetic makeup artist (1 episode 2022),Vegetarian,Om
Ionel Popa,special makeup effects artist (1 episode 2022),Flexitarian,Varcolac
Athina Sapanidis,prosthethic makeup artist (1 episode 2022),Vegetarian,Om
Razvan Badea,unit production manager / production manager (8 episodes 2022),Flexitarian,Sirena
Irene Iovan Calangiu,health & safety unit production manager: covid (8 episodes 2022),Flexitarian,Vampir
Alexandru Cseh,production manager: second unit (8 episodes 2022),Apt,Om
Emma Mallett,unit production manager: additional photography (1 episode 2022),Flexitarian,Clarvazator
Alexandru Acsinte,assistant director (8 episodes 2022),Apt,Om
Emilie Balusson,second second assistant director / co-second assistant director (8 episodes 2022),Apt,Clarvazator
Bianca Bumbacea,assistant director (8 episodes 2022),Vegetarian,Vampir
Simona Dinu,second assistant director (8 episodes 2022),Flexitarian,Vampir
Mariana Grama,crowd second assistant director (8 episodes 2022),Vegetarian,Varcolac
Mircea Hategan,first assistant director (8 episodes 2022),Apt,Sirena
Stefania Ispas,trainee assistant director (8 episodes 2022),Vegetarian,Sirena
Loyzo,third assistant director (8 episodes 2022),Flexitarian,Om
Raphael Tudor,third assistant director (8 episodes 2022),Flexitarian,Om
Costin Sforaru,assistant director (7 episodes 2022),Flexitarian,Om
Sabina Balan,crowd first assistant director (6 episodes 2022),Vegetarian,Sirena
Brett Chan,second unit director (6 episodes 2022),Flexitarian,Vampir
Ada Dumitru,cast assistant (6 episodes 2022),Flexitarian,Om
Emyr Glyn Rees,second assistant director / first assistant director (6 episodes 2022),Vegetarian,Sirena
Jessica Kirec,second assistant director (4 episodes 2022),Vegetarian,Vampir
George Walker,first assistant director (4 episodes 2022),Vegetarian,Clarvazator
Richard O'Brien-Moran,first assistant director (2 episodes 2022),Flexitarian,Clarvazator
Mihaela Ionita,second assistant director (2 episodes 2022),Vegetarian,Varcolac
Alexandra Popa,crowd second assistant director (1 episode 2022),Vegetarian,Om
Alexandru Trandafira,crowd assistant director (2 episodes 2022),Vegetarian,Sirena
Sucioaia Alexandra,set dressing painter (8 episodes 2022),Apt,Om
Tache Alexandru,graphic designer (8 episodes 2022),Vegetarian,Vampir
Corneliu Mihai Bonciu,sculptor (8 episodes 2022),Apt,Varcolac
Rachel Garlick,storyboard artist (8 episodes 2022),Flexitarian,Vampir
Florin Gavrila,lead set dressing painter (8 episodes 2022),Flexitarian,Sirena
Adi Handac,property master (8 episodes 2022),Flexitarian,Om
Dana Ilie,art department manager (8 episodes 2022),Apt,Varcolac
Alexandru Titus Ipate,action vehicles supervisor (8 episodes 2022),Flexitarian,Varcolac
Simona Maican,art department coordinator (8 episodes 2022),Flexitarian,Clarvazator
Cristian Mihaila,assistant set decorator / set decoration buyer (8 episodes 2022),Flexitarian,Vampir
Cosmin Miroiu,head of greenery (8 episodes 2022),Apt,Clarvazator
Amalia Mititelu,set dressing painter (8 episodes 2022),Apt,Clarvazator
Pietro Nume,concept artist (8 episodes 2022),Flexitarian,Vampir
Iulia Petrescu,assistant set decorator (8 episodes 2022),Flexitarian,Varcolac
Madalina Ripanu,clearance coordinator (8 episodes 2022),Vegetarian,Clarvazator
Geaniloni Sandru,lead painter (8 episodes 2022),Apt,Sirena
Eusebiu Sirbu,head graphic designer (8 episodes 2022),Vegetarian,Om
Cristina Stefan,graphic designer (8 episodes 2022),Apt,Sirena
Alexandra Tudor,assistant art director (8 episodes 2022),Vegetarian,Varcolac
Laurentiu Zarnoianu,leadman (8 episodes 2022),Apt,Vampir
Liviu Antonescu,graphic designer (6 episodes 2022),Vegetarian,Varcolac
Madalina Ciosu,set designer (6 episodes 2022),Flexitarian,Om
Tudor Iordachescu,set designer (6 episodes 2022),Apt,Om
Anca Iscru,set designer (6 episodes 2022),Apt,Om
Ana Neag,assistant art director (6 episodes 2022),Apt,Vampir
Iulia Pasarica,assistant art director (6 episodes 2022),Flexitarian,Om
Andreea Siminea,set designer (6 episodes 2022),Vegetarian,Clarvazator
Amy Lockwood,assistant set decorator (4 episodes 2022),Vegetarian,Sirena
Andrew Cherry,storyboard artist (3 episodes 2022),Flexitarian,Clarvazator
Cristian Darstar,storyboard artist (3 episodes 2022),Vegetarian,Vampir
Adrian Curelea,supervising art director (2 episodes 2022),Apt,Varcolac
Serban Porupca,senior art director (2 episodes 2022),Flexitarian,Vampir
Radu Costache,assistant property master (1 episode 2022),Flexitarian,Om
Jennifer Keen,first set decoration buyer (1 episode 2022),Flexitarian,Om
Karen Krizanovich,production design researcher (1 episode 2022),Apt,Om
Ben Livingstone,illustrator (1 episode 2022),Apt,Om
Yohann Angelvy,french casting mixer (8 episodes 2022),Vegetarian,Vampir
Michael Baskerville,re-recording mixer (8 episodes 2022),Flexitarian,Sirena
Nicolae Comarzan,sound mixer: second unit (8 episodes 2022),Apt,Sirena
Tony Diaz,adr mixer (8 episodes 2022),Vegetarian,Vampir
Arturo A. Fuenmayor,re-recording mix assistant / additional re-recording mixer (8 episodes 2022),Flexitarian,Clarvazator
Alastair Gray,dialogue editor (8 episodes 2022),Flexitarian,Vampir
Justin Helle,foley mixer (8 episodes 2022),Apt,Vampir
John Loranger,supervising sound editor (8 episodes 2022),Flexitarian,Sirena
Liviu Lupsa,sound mixer (8 episodes 2022),Flexitarian,Om
Kristi McIntyre,adr editor / sound effects editor (8 episodes 2022),Flexitarian,Vampir
Sean Miller,adr recordist (8 episodes 2022),Vegetarian,Om
Faustine Pelipel,assistant sound editor (8 episodes 2022),Vegetarian,Sirena
Dan Sexton,sound effects editor (8 episodes 2022),Flexitarian,Varcolac
Alex Stylianou,adr recordist (8 episodes 2022),Vegetarian,Sirena
Jamie Sulek,re-recording mixer (8 episodes 2022),Apt,Clarvazator
Mike Tehrani,adr mixer (8 episodes 2022),Apt,Varcolac
Marcus Byrne,adr mixer (7 episodes 2022),Flexitarian,Sirena
Greg Crawford,adr mixer (7 episodes 2022),Flexitarian,Varcolac
Juan Martin Del Campo,adr mixer (7 episodes 2022),Flexitarian,Vampir
Tim McKeever,adr mixer (7 episodes 2022),Flexitarian,Vampir
Simon Diggins,adr mixer (6 episodes 2022),Apt,Om
Jonathan Gomez,adr mixer (4 episodes 2022),Flexitarian,Vampir
Nathan Jackson,foley editor (1 episode 2022),Vegetarian,Clarvazator
William Kellerman,foley artist (1 episode 2022),Vegetarian,Vampir
Leslie Liu,adr mixer (2 episodes 2022),Flexitarian,Sirena
Ana Quiroga,audio coordinator (uncredited) (8 episodes 2022),Vegetarian,Vampir
Dan Barcutean,special effects technician (8 episodes 2022),Flexitarian,Om
Max Costello,special effects technician (7 episodes 2022),Vegetarian,Om
Florin Stoian,special effects technician (8 episodes 2022),Flexitarian,Vampir
Harry Troughton,special effects coordinator (8 episodes 2022),Flexitarian,Om
Jason Troughton,special effects supervisor (8 episodes 2022),Flexitarian,Sirena
Adrian Nica,lead technician (4 episodes 2022),Vegetarian,Varcolac
Ilinca Angelescu,special effects makeup (1 episode 2022),Vegetarian,Clarvazator
Yovko Dogandjiiski,special effects supervisor (2 episodes 2022),Vegetarian,Om
Antonia Tocheva,special effects office coordinator (2 episodes 2022),Vegetarian,Om
Matthew Adams,digital compositor: Ghost VFX Toronto (8 episodes 2022),Flexitarian,Sirena
Oana Bardan,visual effects coordinator (8 episodes 2022),Vegetarian,Sirena
Craig Calvert,visual effects supervisor: Mr. X (8 episodes 2022),Vegetarian,Varcolac
Kevin Chandoo,head of studio: Ghost VFX Toronto (8 episodes 2022),Vegetarian,Sirena
Nick Colangelo,visual effects producer: Mr. X (8 episodes 2022),Vegetarian,Vampir
John Coldrick,visual effects supervisor: Rocket Science VFX (8 episodes 2022),Apt,Sirena
Sam Cole,lighting lead: Mr. X (8 episodes 2022),Vegetarian,Clarvazator
Chris Cooper,cg supervisor: Mr. X (8 episodes 2022),Apt,Om
Roger Dalupang,lead render wrangler/pipeline td (8 episodes 2022),Vegetarian,Varcolac
Swedyl DSouza,visual effects production manager (8 episodes 2022),Apt,Sirena
Maxime Ducharme,visual effects artist: MELS (2 episodes 2022),Apt,Om
Paula Fanaia,digital compositor: Ghost VFX Toronto (8 episodes 2022),Apt,Sirena
Mariah Fleetham,visual effects production assistant: Take 5 VFX (8 episodes 2022),Vegetarian,Clarvazator
Kathryn Foster,visual effects editor: Ghost VFX Toronto (8 episodes 2022),Vegetarian,Vampir
Ben Funk,lead compositor: Take 5 VFX (8 episodes 2022),Flexitarian,Sirena
Keith Goh,visual effects assistant editor: MPC (8 episodes 2022),Apt,Varcolac
Kari-Lyn Gravel,visual effects associate line producer: Stereo D (8 episodes 2022),Flexitarian,Varcolac
Jon Howard,visual effects producer: Ghost VFX Toronto (6 episodes 2022),Vegetarian,Vampir
Kent Johnson,visual effects producer (8 episodes 2022),Vegetarian,Vampir
Anna Joukova,compositor: Take 5 VFX / visual effects compositor: Take 5 VFX (8 episodes 2022),Vegetarian,Varcolac
Jesse Kawzenuk,on-set visual effects supervisor (8 episodes 2022),Flexitarian,Varcolac
Grant Lee,visual effects supervisor: Stereo D (8 episodes 2022),Vegetarian,Varcolac
Jake Lunt Davies,concept design (8 episodes 2022),Apt,Sirena
Dumitrana Teodora Lupu,visual effects production assistant (8 episodes 2022),Apt,Vampir
Amy Madigan,visual effects production manager: Stereo D (8 episodes 2022),Apt,Om
Yael Majors,visual effects assistant supervisor: Stereo D (3 episodes 2022),Flexitarian,Clarvazator
Mariano Mendoza,assets lead: Mr. X (8 episodes 2022),Flexitarian,Varcolac
Guillermo Molina,lead tools developer (8 episodes 2022),Flexitarian,Om
Skye Morandin,visual effects production manager: Stereo D (8 episodes 2022),Apt,Clarvazator
Tom Nagy,animation supervisor: Mr. X (8 episodes 2022),Vegetarian,Clarvazator
Ken Nielsen,compositing supervisor: Ghost VFX Toronto (8 episodes 2022),Vegetarian,Sirena
Razvan Nineaca,data wrangler (8 episodes 2022),Flexitarian,Vampir
Anthony O'Connell,Render Wrangler (8 episodes 2022),Apt,Om
Catalin Otelea,data wrangler (8 episodes 2022),Flexitarian,Vampir
Matei Ovejan,data wrangler (8 episodes 2022),Vegetarian,Om
Alessandro Pantanella,visual effects supervisor: Ghost VFX Toronto (8 episodes 2022),Apt,Clarvazator
Travis Pond,compositor: Take 5 VFX (8 episodes 2022),Flexitarian,Sirena
Yawar Raja,layout lead: Mr. X (8 episodes 2022),Vegetarian,Vampir
Aditya Sawant,visual effects coordinator: Ghost VFX Toronto (8 episodes 2022),Apt,Clarvazator
Matt Schofield,vfx head of operations (8 episodes 2022),Apt,Om
Ksenia Shutova,compositor: Take 5 VFX (8 episodes 2022),Vegetarian,Vampir
Mark Simone,visual effects producer: Stereo D (8 episodes 2022),Vegetarian,Om
Denis St-Pierre,compositor: Take 5 VFX (8 episodes 2022),Vegetarian,Varcolac
Ryan Terk,Senior Visual Effects Coordinator / visual effects coordinator: MELS (8 episodes 2022),Apt,Vampir
Jason Teske,rigging lead: Mr. X (8 episodes 2022),Vegetarian,Vampir
Tom Turnbull,visual effects supervisor (8 episodes 2022),Apt,Varcolac
Fabi�n Varela,visual effects producer: Ghost VFX Toronto (8 episodes 2022),Apt,Sirena
Kelly Weisz,visual effects studio manager: Take 5 VFX (8 episodes 2022),Apt,Sirena
Angela Zhang,visual effects production manager: Mr. X (8 episodes 2022),Apt,Varcolac
Kayden Anderson,visual effects producer: Rocket Science VFX (7 episodes 2022),Vegetarian,Varcolac
Eddie Englander,visual effects supervisor: Monsters Aliens Robots Zombies (2 episodes 2022),Flexitarian,Sirena
Rashid Khallouk,compositing lead: Mr. X (6 episodes 2022),Vegetarian,Sirena
Timothy Mah,visual effects editor: Rocket Science VFX (7 episodes 2022),Apt,Varcolac
Michael Osuszek,visual effects coordinator: Rocket Science VFX (7 episodes 2022),Flexitarian,Varcolac
Rodrigo Paiva,compositing lead: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Om
Suresh Pandi,lead compositor: Rocket Science VFX / compositor: Rocket Science VFX (7 episodes 2022),Vegetarian,Vampir
Francois Robert,matchmove/layout artist: MELS (3 episodes 2022),Vegetarian,Sirena
Adam Smith,lead compositor: Rocket Science VFX (7 episodes 2022),Apt,Vampir
Sarvesh Amre,visual effects production manager: NetFX Mumbai (6 episodes 2022),Flexitarian,Sirena
Beno�t Bri�re,visual effects supervisor: MELS (6 episodes 2022),Flexitarian,Om
Paul Chambers,assets supervisor: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Sirena
Dipak Gaur,digital compositor: Ghost VFX Toronto (6 episodes 2022),Vegetarian,Om
Taraknath Ghosh,paint artist: Stereo D (5 episodes 2022),Flexitarian,Clarvazator
Baz Lanaris,cg supervisor: MELS (6 episodes 2022),Apt,Clarvazator
Prateek Mishra,paint artist: Stereo D (5 episodes 2022),Flexitarian,Vampir
Erin Nicholson,cg supervisor: Ghost VFX Toronto (6 episodes 2022),Flexitarian,Clarvazator
Bikram Singh,paint artist: Stereo D (5 episodes 2022),Vegetarian,Clarvazator
Khushroo Surveyor,visual effects lighter: Rocket Science VFX (5 episodes 2022),Apt,Sirena
Ramesh Kumar Yanagandhula,paint artist: Stereo D (5 episodes 2022),Apt,Varcolac
Lynx Zuo,digital compositor: Ghost VFX Toronto (6 episodes 2022),Vegetarian,Vampir
Patti Gannon,compositor: Take 5 VFX (4 episodes 2022),Apt,Vampir
Tanya Haddad,visual effects producer: Folks VFX (5 episodes 2022),Flexitarian,Vampir
JoAnna Johnson,compositor: Rocket Science VFX (4 episodes 2022),Apt,Om
Luca Lim Diniz,visual effects artist: MELS (4 episodes 2022),Vegetarian,Clarvazator
Brodie McNeill,visual effects supervisor: Folks VFX (5 episodes 2022),Apt,Clarvazator
Tabata Ortiz,visual effects artist: MELS (4 episodes 2022),Vegetarian,Varcolac
Nishant Patel,visual effects lighter: Rocket Science VFX (1 episode 2022),Vegetarian,Om
Umapathy Rajarathinam,compositor: Rocket Science VFX (4 episodes 2022),Flexitarian,Om
Genesis Rivas,compositor: Take 5 VFX (4 episodes 2022),Apt,Clarvazator
Manish Rohith,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Vampir
Luca Gabriele Rossetti,digital matte painter/environment supervisor: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Salil Thapa,visual effects line producer: NetFX Mumbai (5 episodes 2022),Flexitarian,Vampir
Fran�ois Trudel,visual effects artist: MELS / visual effects supervisor: MELS (4 episodes 2022),Vegetarian,Varcolac
Wesley While,compositor: Take 5 VFX (5 episodes 2022),Vegetarian,Vampir
Kaylie Whitcher,visual effects producer: Folks VFX (5 episodes 2022),Flexitarian,Sirena
Sarah Wormsbecher,visual effects executive producer: Folks VFX (5 episodes 2022),Flexitarian,Sirena
Summer Zong,cg supervisor: Folks VFX (5 episodes 2022),Apt,Clarvazator
Oksana Andrulis,visual effects production manager: Folks VFX / animation coordinator: Folks VFX (3 episodes 2022),Apt,Clarvazator
David Dionne,visual effects artist: MELS (2 episodes 2022),Apt,Clarvazator
Josh George,fx lead: Folks VFX (3 episodes 2022),Flexitarian,Clarvazator
James Takashi Higuchi,lighting supervisor: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Sirena
Christopher Jude,compositor: Rocket Science VFX (3 episodes 2022),Flexitarian,Vampir
Jos� Lasa,compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX (3 episodes 2022),Apt,Sirena
Marco Lee,compositing supervisor: Folks VFX (3 episodes 2022),Flexitarian,Vampir
Dinaaz Mathur,visual effects production coordinator: NetFX Mumbai (4 episodes 2022),Flexitarian,Varcolac
Ben McDougal,surfacing lead: Monsters Aliens Robots Zombies (4 episodes 2022),Apt,Clarvazator
Sumit Mukherjee,paint supervisor: NetFX Mumbai (4 episodes 2022),Flexitarian,Vampir
Isha Nigam,head of production: NetFX Mumbai (4 episodes 2022),Apt,Om
Ryan Jae Wook Park,layout supervisor: Folks VFX (3 episodes 2022),Vegetarian,Vampir
Gustavo Sanchez-Perez,fx supervisor: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Om
Kyle Sim,head of 2d: Folks VFX (4 episodes 2022),Apt,Vampir
Pankaj Umbarkar,junior paint lead: NetFX Mumbai (4 episodes 2022),Apt,Clarvazator
Sahil Agrahari,junior paint artist: NetFX Mumbai (2 episodes 2022),Flexitarian,Om
Chris Archinet,visual effects artist: MELS (2 episodes 2022),Flexitarian,Vampir
Ajay Kumar Attinti,roto lead: NetFX Mumbai (3 episodes 2022),Vegetarian,Varcolac
Samuel Boisvert,visual effects artist: MELS (2 episodes 2022),Apt,Om
Reine Bourgault,visual effects artist: MELS (2 episodes 2022),Apt,Clarvazator
Aakash Chaudhari,roto artist: NetFX Mumbai (2 episodes 2022),Apt,Sirena
Dave David,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Varcolac
Amod Diwakar,assistant visual effects line producer: Stereo D / visual effects assistant line producer: Stereo D (3 episodes 2022),Vegetarian,Sirena
Nadine Fr�ve,lead visual effects editor: Folks VFX / visual effects editor: Folks VFX (2 episodes 2022),Flexitarian,Varcolac
Mark Goldberg,compositor (2 episodes 2022),Flexitarian,Vampir
Leonardo Andres Grabau Villalba,visual effects artist: MELS (2 episodes 2022),Apt,Om
Jonathan Gr�goire,visual effects artist: MELS (3 episodes 2022),Apt,Sirena
Jeanne Hebert,visual effects artist: MELS (2 episodes 2022),Vegetarian,Clarvazator
